NameSpinner,织网幼蛛
AttackSpinner,织网幼蛛迈着细碎的步子爬过你的身体，细足轻扫，带来一阵微痒。
AttackSpinnerBind,结网幼蛛绕着双腿织下一圈蛛丝，仍停留在附近继续行动。(+RestraintAdded)
KillSpinner,织网幼蛛收起细足，慢慢退开，离开了视线。
NameJumper,跃击幼蛛
AttackJumper,跃击幼蛛轻巧地跃到近前，细足擦过你的身体，带起一阵微痒。
AttackJumperBind,跃击幼蛛落到你身上，顺着落势牵好蛛丝，将你缠住一处，随后跃开了。(+RestraintAdded)
KillJumper,跃击幼蛛拢起细足，退了几步，很快离开了视线。
NameTunneler,掘穴幼蛛
KillTunneler,掘穴幼蛛沿着地面离开，几缕细丝轻轻落在原地。
NameNestEntrance,蛛巢入口
KillNestEntrance,蛛巢入口塌了下来，洞边的丝网随之垂落，里面的幼蛛纷纷爬出。
NameWebCaster,喷网幼蛛
KillWebCaster,喷网幼蛛收拢细足，缓缓退开，身后留下一缕细丝。
KinkyDungeonSpellSummonSpinner,召出织网幼蛛
KinkyDungeonSummonSummonSpinner,一只织网幼蛛沿着丝缕爬来，细足轻巧地落在地上。
KinkyDungeonSpellCastSummonSpinner,细细的爬动声伴着丝缕轻颤，织网幼蛛即将现身。
KinkyDungeonSpellSummonJumper,召出跃击幼蛛
KinkyDungeonSummonSummonJumper,一只跃击幼蛛跳了出来，细足在落地时轻轻舒开。
KinkyDungeonSpellCastSummonJumper,轻细的窸窣声渐渐近了，跃击幼蛛即将现身。
KinkyDungeonSpellSpiderlingsJumperDash,幼蛛跃击
KinkyDungeonSpellCastSpiderlingsJumperDash,跃击幼蛛望着你脚下的地面，伏低身体，将细足一一收拢，准备跃来。
KinkyDungeonSpellSummonWebCaster,召出喷网幼蛛
KinkyDungeonSummonSummonWebCaster,一只喷网幼蛛爬了出来，身后的丝缕顺着地面铺下。
KinkyDungeonSpellCastSummonWebCaster,一缕蛛丝缓缓牵出，喷网幼蛛即将现身。
KinkyDungeonSpellSummonTunneler,召出掘穴幼蛛
KinkyDungeonSummonSummonTunneler,一只掘穴幼蛛钻了出来，细足沿着地面碎步前行。
KinkyDungeonSpellCastSummonTunneler,地面传来轻细的刨动声，掘穴幼蛛即将现身。
KinkyDungeonSpellSummonNestEntrance,掘筑蛛巢
KinkyDungeonSummonSummonNestEntrance,地面露出一道洞口，细丝沿着洞边铺开，新的蛛巢入口出现了。
KinkyDungeonSpellCastSummonNestEntrance,掘穴幼蛛伏在地上细细刨掘，将蛛丝顺着裂隙一缕缕铺好。
KinkyDungeonSpellWebSpray,喷射蛛网
KinkyDungeonSpellCastWebSpray,喷网幼蛛朝你喷出一束蛛丝，细细的丝线在空中舒展开来。
KinkyDungeonSpellWebSprayDamage,喷来的蛛丝落在你身上，黏软的丝缕随之缠住了你。(DamageDealt)
KinkyDungeonSpellWebSprayBind,喷来的蛛丝贴上身体，细缕相连，织成一片贴合的网。
KinkyDungeonSpellSpiderWeb,地面蛛网
KinkyDungeonSpellCastSpiderWeb,柔韧的蛛丝落向地面，在四周铺成疏疏的网。
KinkyDungeonSpellSpiderWebDamage,你踏进蛛网，脚边的黏丝牵起，缠上了双脚。(DamageDealt)
KinkyDungeonSpellSpiderWebBind,你踏进蛛网，细软的黏丝沿着脚边一圈圈缠上来。
KDModButtonSpiderlings,幼蛛
KDModButtonspiderlingsSquad,固定幼蛛小队
KDModButtonspiderlingsSpinnerEncounters,自动 Spinner 遭遇
KDModButtonspiderlingsNestSummonWeights,巢穴增援种类权重
KDModButtonspiderlingsNestSpinnerWeight,织网幼蛛权重
KDModButtonspiderlingsNestJumperWeight,跃击幼蛛权重
KDModButtonspiderlingsNestWebCasterWeight,喷网幼蛛权重
KDModButtonspiderlingsNestTunnelerWeight,掘穴幼蛛权重
KDModButtonspiderlingsNestMageWeight,法师幼蛛权重
KDModButtonspiderlingsNestReinforcementControl,每巢存活增援上限
KDModButtonspiderlingsNestReinforcementCap,每巢存活增援上限
KDModButtonspiderlingsNestReinforcementInterval,增援检查间隔（回合）
RestraintSpiderlingsWebbingLv1Arm,蛛丝缚臂
RestraintSpiderlingsWebbingLv1ArmDesc,几缕柔韧的蛛丝绕过双腕，将双臂拢在身后。
RestraintSpiderlingsWebbingLv1ArmDesc2,丝缕间留着疏疏的空隙，手腕一动，细线便顺着动作轻轻牵起。
RestraintSpiderlingsWebbingLv1MittenLeft,蛛丝手套·左
RestraintSpiderlingsWebbingLv1MittenLeftDesc,薄薄的蛛丝贴着左手铺开，将手指拢进柔软的包裹。
RestraintSpiderlingsWebbingLv1MittenLeftDesc2,指尖抵着蓬松的丝絮，手套边缘垂着几根细细的游丝。
RestraintSpiderlingsWebbingLv1MittenRight,蛛丝手套·右
RestraintSpiderlingsWebbingLv1MittenRightDesc,薄薄的蛛丝顺着右手的轮廓铺下，将手指一同包好。
RestraintSpiderlingsWebbingLv1MittenRightDesc2,手背的丝缕绕向掌心，随着指节的动作泛起浅浅的起伏。
RestraintSpiderlingsWebbingLv1Belly,蛛丝腹缠
RestraintSpiderlingsWebbingLv1BellyDesc,一圈柔韧的蛛丝贴着下腹，织成窄窄的束带。
RestraintSpiderlingsWebbingLv1BellyDesc2,束带边缘散着细软的丝絮，随着身体的起伏轻轻牵动。
RestraintSpiderlingsWebbingLv1Legs,蛛丝缚腿
RestraintSpiderlingsWebbingLv1LegsDesc,疏疏的蛛丝横过并拢的双腿，在腿间搭起细巧的网。
RestraintSpiderlingsWebbingLv1LegsDesc2,网眼中仍能看清双腿的轮廓，挪动时，邻近的丝缕便一同轻颤。
RestraintSpiderlingsWebbingLv1Ankles,蛛丝缚踝
RestraintSpiderlingsWebbingLv1AnklesDesc,几缕柔软的蛛丝交错绕过两踝，在脚间搭起疏疏的网。
RestraintSpiderlingsWebbingLv1AnklesDesc2,脚踝稍一挪动，细丝便顺着动作轻轻牵起。
RestraintSpiderlingsWebbingLv1Foot,蛛丝裹足
RestraintSpiderlingsWebbingLv1FootDesc,薄薄的蛛丝包住并拢的双足，顺着足缘贴合成一片。
RestraintSpiderlingsWebbingLv1FootDesc2,细丝沿脚背一缕缕铺开，足尖的轮廓仍清晰地显在网下。
RestraintSpiderlingsWebbingLv1Blindfold,蛛丝眼罩
RestraintSpiderlingsWebbingLv1BlindfoldDesc,一层薄薄的蛛丝蒙在双眼前，光线变得柔和，远处的轮廓也模糊起来。
RestraintSpiderlingsWebbingLv1BlindfoldDesc2,眼罩边缘贴着眼角，转头时，几根游丝轻扫过脸颊。
RestraintSpiderlingsWebbingLv2Arm,缠织蛛丝缚臂
RestraintSpiderlingsWebbingLv2ArmDesc,蛛丝在双腕与手臂间细密交织，将疏落的丝缕铺成贴合的宽带。
RestraintSpiderlingsWebbingLv2ArmDesc2,宽带顺着手臂的弧度伏下，交叠的丝纹随着动作一同牵动。
RestraintSpiderlingsWebbingLv2Belly,缠织蛛丝腹缠
RestraintSpiderlingsWebbingLv2BellyDesc,蛛丝沿着下腹层层铺叠，将窄窄的束带织成厚软的一圈。
RestraintSpiderlingsWebbingLv2BellyDesc2,新添的丝缕依着原有纹路交织，细软的边缘一直延向腰侧。
RestraintSpiderlingsWebbingLv2Legs,缠织蛛丝缚腿
RestraintSpiderlingsWebbingLv2LegsDesc,一层层蛛丝贴着双腿铺下，将腿间的空隙织成连片的网面。
RestraintSpiderlingsWebbingLv2LegsDesc2,网眼渐渐细密，交叠的丝带随着双腿挪动，泛起柔缓的褶纹。
RestraintSpiderlingsWebbingLv2Ankles,缠织蛛丝缚踝
