NameSpinner,Spinnenjunges Spinner
AttackSpinner,Das Spinnenjunge Spinner huscht über deinen Körper; seine feinen Beine hinterlassen ein prickelndes Jucken.
AttackSpinnerBind,Die Spinne wickelt Seide um deine Beine und bleibt zum Weiterweben in der Nähe. (+RestraintAdded)
KillSpinner,Das Spinnenjunge Spinner zieht seine feinen Beine an und verschwindet rückwärts in den Schatten.
NameJumper,Spinnenjunges Springer
AttackJumper,Das Spinnenjunge Springer schnellt heran; seine feinen Beine streifen deinen Körper und lassen ihn jucken.
AttackJumperBind,Das Spinnenjunge Springer landet auf dir, zieht dabei seine Seide straff und verschwindet im nächsten Augenblick. (+RestraintAdded)
KillJumper,Das Spinnenjunge Springer taumelt zurück und verschwindet rasch in den Schatten.
NameTunneler,Spinnenjunges Gräber
KillTunneler,Das Spinnenjunge Gräber verschwindet; nur einige Seidenfäden bleiben zurück.
NameNestEntrance,Nesteingang
KillNestEntrance,Der Nesteingang bricht krachend ein, und die darin verborgenen Spinnenjungen strömen heraus!
NameWebCaster,Spinnenjunges Netzwerfer
KillWebCaster,Das Spinnenjunge Netzwerfer zieht sich zusammen und weicht ins Dunkel zurück.
KinkyDungeonSpellSummonSpinner,Spinner beschwören
KinkyDungeonSummonSummonSpinner,Ein Spinnenjunges Spinner krabbelt aus dem Dunkel, Seidenfäden zwischen den feinen Beinen.
KinkyDungeonSpellCastSummonSpinner,Leises Trippeln kommt aus dem Dunkel; gleich wird ein Spinnenjunges Spinner auftauchen.
KinkyDungeonSpellSummonJumper,Springer beschwören
KinkyDungeonSummonSummonJumper,Ein Spinnenjunges Springer schnellt hervor und landet leichtfüßig auf dem Boden.
KinkyDungeonSpellCastSummonJumper,Hastiges Rascheln kommt aus dem Dunkel; gleich wird ein Spinnenjunges Springer auftauchen.
KinkyDungeonSpellSpiderlingsJumperDash,Springer-Sprungangriff
KinkyDungeonSpellCastSpiderlingsJumperDash,Das Spinnenjunge Springer starrt auf den Boden unter dir, senkt den Körper und zieht seine feinen Beine eng an.
KinkyDungeonSpellSummonWebCaster,Netzwerfer beschwören
KinkyDungeonSummonSummonWebCaster,Ein Spinnenjunges Netzwerfer krabbelt hervor und zieht einen klebrigen Seidenfaden hinter sich her.
KinkyDungeonSpellCastSummonWebCaster,Klebrige Seide spannt sich aus dem Dunkel; gleich wird ein Spinnenjunges Netzwerfer auftauchen.
KinkyDungeonSpellSummonTunneler,Gräber beschwören
KinkyDungeonSummonSummonTunneler,Ein Spinnenjunges Gräber kommt aus dem Dunkel und huscht über den Boden.
KinkyDungeonSpellCastSummonTunneler,Leises Scharren kommt aus dem Dunkel; gleich wird ein Spinnenjunges Gräber auftauchen.
KinkyDungeonSpellSummonNestEntrance,Spinnennest graben
KinkyDungeonSummonSummonNestEntrance,Der Boden reißt zu einem seidenbedeckten Loch auf; ein neuer Nesteingang ist entstanden!
KinkyDungeonSpellCastSummonNestEntrance,Das Spinnenjunge Gräber kauert am Boden und scharrt, während Seide die Risse entlangwächst!
KinkyDungeonSpellWebSpray,Netzstrahl
