NameSpinner,Cría de araña hiladora
AttackSpinner,La cría de araña hiladora corre pegada a tu cuerpo; sus patas finas dejan un cosquilleo punzante.
AttackSpinnerBind,La araña enrolla seda alrededor de tus piernas y permanece cerca para seguir tejiendo. (+RestraintAdded)
KillSpinner,La cría de araña hiladora recoge sus patas finas y retrocede hasta perderse en las sombras.
NameJumper,Cría de araña saltadora
AttackJumper,La cría de araña saltadora se abalanza de pronto; sus patas rozan tu cuerpo y provocan un cosquilleo punzante.
AttackJumperBind,La cría de araña saltadora cae sobre ti y aprovecha el impulso para tensar su seda; al instante desaparece. (+RestraintAdded)
KillJumper,La cría de araña saltadora retrocede a trompicones y pronto se pierde en las sombras.
NameTunneler,Cría de araña excavadora
KillTunneler,La cría de araña excavadora desaparece y solo deja unas hebras de seda.
NameNestEntrance,Entrada del nido
KillNestEntrance,La entrada del nido se derrumba con estrépito; las crías de araña ocultas dentro salen en tropel.
NameWebCaster,Cría de araña escupidora
KillWebCaster,La cría de araña escupidora se encoge y retrocede hacia la oscuridad.
KinkyDungeonSpellSummonSpinner,Invocar hiladora
KinkyDungeonSummonSummonSpinner,Una cría de araña hiladora sale de la oscuridad, con hebras de seda entre sus patas finas.
KinkyDungeonSpellCastSummonSpinner,Un leve repiqueteo llega de la oscuridad; una cría de araña hiladora está a punto de aparecer.
KinkyDungeonSpellSummonJumper,Invocar saltadora
KinkyDungeonSummonSummonJumper,Una cría de araña saltadora sale de un salto y posa suavemente sus patas en el suelo.
KinkyDungeonSpellCastSummonJumper,Un susurro apresurado llega de la oscuridad; una cría de araña saltadora está a punto de aparecer.
KinkyDungeonSpellSpiderlingsJumperDash,Embestida saltadora
KinkyDungeonSpellCastSpiderlingsJumperDash,La cría de araña saltadora fija la mirada en el suelo bajo tus pies, baja el cuerpo y recoge bien sus patas.
KinkyDungeonSpellSummonWebCaster,Invocar escupidora
KinkyDungeonSummonSummonWebCaster,Una cría de araña escupidora sale arrastrando una hebra de seda pegajosa.
KinkyDungeonSpellCastSummonWebCaster,La seda pegajosa se extiende desde la oscuridad; una cría de araña escupidora está a punto de aparecer.
KinkyDungeonSpellSummonTunneler,Invocar excavadora
KinkyDungeonSummonSummonTunneler,Una cría de araña excavadora sale de la oscuridad y corretea por el suelo.
KinkyDungeonSpellCastSummonTunneler,Un leve arañar llega de la oscuridad; una cría de araña excavadora está a punto de aparecer.
KinkyDungeonSpellSummonNestEntrance,Excavar un nido de arañas
KinkyDungeonSummonSummonNestEntrance,El suelo se abre en un hueco cubierto de seda; ha aparecido una nueva entrada de nido.
