NameSpinner,幼蛛の糸紡ぎ
AttackSpinner,幼蛛の糸紡ぎが体に沿って素早く這い、細い脚がちくちくした痒みを残す。
AttackSpinnerBind,幼蛛は脚に糸を巻き、近くに留まって織り続けます。(+RestraintAdded)
KillSpinner,幼蛛の糸紡ぎは細い脚を畳み、影の中へ退いて消えた。
NameJumper,幼蛛の跳躍者
AttackJumper,幼蛛の跳躍者が不意に飛びかかり、細い脚が体をかすめて痒みを走らせる。
AttackJumperBind,幼蛛の跳躍者が体に飛びつき、その勢いで糸を引き締めると、たちまち姿を消した。(+RestraintAdded)
KillJumper,幼蛛の跳躍者はよろめきながら退き、すぐに影へ紛れた。
NameTunneler,幼蛛の穴掘り
KillTunneler,幼蛛の穴掘りは姿を消し、その場には数本の糸だけが残った。
NameNestEntrance,巣穴の入口
KillNestEntrance,巣穴の入口が轟音とともに崩れ、中に潜んでいた幼蛛たちが次々にあふれ出した！
NameWebCaster,幼蛛の糸吐き
KillWebCaster,幼蛛の糸吐きは体を縮めて退き、暗がりへ消えた。
KinkyDungeonSpellSummonSpinner,糸紡ぎを召喚
KinkyDungeonSummonSummonSpinner,幼蛛の糸紡ぎが暗がりから這い出し、細い脚の間に幾筋もの糸を引いている。
KinkyDungeonSpellCastSummonSpinner,暗がりから小刻みな足音がする。幼蛛の糸紡ぎが姿を現そうとしている。
KinkyDungeonSpellSummonJumper,跳躍者を召喚
KinkyDungeonSummonSummonJumper,幼蛛の跳躍者が飛び出し、細い脚で軽やかに着地した。
KinkyDungeonSpellCastSummonJumper,暗がりからせわしない物音がする。幼蛛の跳躍者が姿を現そうとしている。
KinkyDungeonSpellSpiderlingsJumperDash,跳躍者の飛びかかり
KinkyDungeonSpellCastSpiderlingsJumperDash,幼蛛の跳躍者が足元の地面を見据え、体を低くして細い脚をきゅっと畳む。
KinkyDungeonSpellSummonWebCaster,糸吐きを召喚
KinkyDungeonSummonSummonWebCaster,幼蛛の糸吐きが這い出し、粘った糸を後ろに引いている。
KinkyDungeonSpellCastSummonWebCaster,暗がりから粘った糸が伸びてくる。幼蛛の糸吐きが姿を現そうとしている。
KinkyDungeonSpellSummonTunneler,穴掘りを召喚
KinkyDungeonSummonSummonTunneler,幼蛛の穴掘りが暗がりから抜け出し、地面をかさかさと這っている。
KinkyDungeonSpellCastSummonTunneler,暗がりから小さな掻き音がする。幼蛛の穴掘りが姿を現そうとしている。
KinkyDungeonSpellSummonNestEntrance,クモの巣穴を掘る
KinkyDungeonSummonSummonNestEntrance,地面が裂け、糸に覆われた穴が開いた。新たな巣穴の入口が現れた！
KinkyDungeonSpellCastSummonNestEntrance,幼蛛の穴掘りが地面に伏して掘り進め、裂け目に沿って糸が広がっていく！
KinkyDungeonSpellWebSpray,クモ網噴射
KinkyDungeonSpellCastWebSpray,幼蛛の糸吐きがこちらへ粘る糸束を噴き出す。白い糸が空中でぱっと開いた！
KinkyDungeonSpellWebSprayDamage,飛んできた粘る糸が正面から絡みついた！(DamageDealt)
KinkyDungeonSpellWebSprayBind,噴き出された糸が体に貼りつき、網となって絡み合う！
KinkyDungeonSpellSpiderWeb,地面のクモの巣
KinkyDungeonSpellCastSpiderWeb,粘り強い糸が地面に落ち、辺りに乱れた網を広げていく。
KinkyDungeonSpellSpiderWebDamage,網に踏み込むと、粘る糸がたちまち両足に巻きついた！(DamageDealt)
KinkyDungeonSpellSpiderWebBind,網に踏み込むと、足元の粘る糸が絡み上がってきた！
KDModButtonSpiderlings,幼蛛
KDModButtonspiderlingsSquad,固定の幼蛛小隊
KDModButtonspiderlingsSpinnerEncounters,自律 Spinner エンカウント
KDModButtonspiderlingsNestSummonWeights,巣穴の増援種別ウェイト
KDModButtonspiderlingsNestSpinnerWeight,糸紡ぎの重み
KDModButtonspiderlingsNestJumperWeight,跳躍者の重み
KDModButtonspiderlingsNestWebCasterWeight,糸吐きの重み
KDModButtonspiderlingsNestTunnelerWeight,穴掘りの重み
KDModButtonspiderlingsNestReinforcementControl,巣穴の反復増援
KDModButtonspiderlingsNestReinforcementCap,巣穴ごとの生存増援上限
KDModButtonspiderlingsNestReinforcementInterval,増援の確認間隔（ターン）
RestraintSpiderlingsWebbingLv1Arm,蛛糸の腕縛り
RestraintSpiderlingsWebbingLv1ArmDesc,粘り強い数本の蛛糸が両手首に巻きつき、腕を背中へ引き寄せている。
RestraintSpiderlingsWebbingLv1ArmDesc2,糸の間にはまだ隙間があり、少し身じろぐだけで細い白線がぴんと張る。
RestraintSpiderlingsWebbingLv1MittenLeft,蛛糸のミトン・左
RestraintSpiderlingsWebbingLv1MittenLeftDesc,薄い蛛糸が左手に貼りつき、指をひとつの柔らかな包みに収めている。
RestraintSpiderlingsWebbingLv1MittenLeftDesc2,指先にはふわりとした絹毛が触れ、縁からは束ねられていない細糸が垂れている。
RestraintSpiderlingsWebbingLv1MittenRight,蛛糸のミトン・右
RestraintSpiderlingsWebbingLv1MittenRightDesc,薄い蛛糸が右手に貼りつき、指をひとつの柔らかな包みに収めている。
RestraintSpiderlingsWebbingLv1MittenRightDesc2,指の節が浅い起伏を作り、粘る糸が手の甲から掌へ回り込んでいる。
RestraintSpiderlingsWebbingLv1Belly,蛛糸の腹帯
RestraintSpiderlingsWebbingLv1BellyDesc,粘り強い蛛糸が下腹に貼りつき、細い帯を織り上げている。
RestraintSpiderlingsWebbingLv1BellyDesc2,帯の縁には細かな毛羽が散り、体の動きに合わせてかすかに揺れる。
RestraintSpiderlingsWebbingLv1Legs,蛛糸の脚縛り
RestraintSpiderlingsWebbingLv1LegsDesc,まばらな蛛糸が揃えた両脚を横切り、脚の間に細い白線を渡している。
RestraintSpiderlingsWebbingLv1LegsDesc2,網目はまだはっきり見える。一か所を引くと、隣の糸まで震える。
RestraintSpiderlingsWebbingLv1Ankles,蛛糸の足首縛り
RestraintSpiderlingsWebbingLv1AnklesDesc,数本の蛛糸が両足首の間で交差し、そっと引き寄せている。
RestraintSpiderlingsWebbingLv1AnklesDesc2,白い糸が足首を巡り、両足の間に細い橋を架けている。
RestraintSpiderlingsWebbingLv1Foot,蛛糸の足包み
RestraintSpiderlingsWebbingLv1FootDesc,薄い蛛糸が揃えた両足を包み、足の縁で貼り合わさっている。
RestraintSpiderlingsWebbingLv1FootDesc2,細糸が足の甲に広がり、網の下には爪先の輪郭がまだくっきり見える。
RestraintSpiderlingsWebbingLv1Blindfold,蛛糸の目隠し
RestraintSpiderlingsWebbingLv1BlindfoldDesc,薄い蛛糸の帯が両目を覆い、光が和らぎ、遠くの輪郭がぼやける。
RestraintSpiderlingsWebbingLv1BlindfoldDesc2,縁が目尻に貼りつき、頭を動かすたびに遊び糸が頬をかすめる。
RestraintSpiderlingsWebbingLv2Arm,絡み織りの腕縛り
RestraintSpiderlingsWebbingLv2ArmDesc,蛛糸が手首と腕の間を幾度も巡り、ばらばらだった糸は幅広く厚い帯になっている。
RestraintSpiderlingsWebbingLv2ArmDesc2,身をよじると一本の糸が網全体を引き締め、手首には粘る結び目がひしめく。
RestraintSpiderlingsWebbingLv2Belly,絡み織りの腹帯
RestraintSpiderlingsWebbingLv2BellyDesc,蛛糸が下腹に幾重にも広がり、細かった帯を厚く覆っている。
RestraintSpiderlingsWebbingLv2BellyDesc2,新旧の糸が貼り合わさり、交差する模様は腰の脇まで続いている。
RestraintSpiderlingsWebbingLv2Legs,絡み織りの脚縛り
RestraintSpiderlingsWebbingLv2LegsDesc,厚い蛛糸が両脚を横切り、脚の間をひと続きの網に織り上げている。
RestraintSpiderlingsWebbingLv2LegsDesc2,開いていた網目は小さな隙間となり、重なる帯が脚とともに引き合う。
RestraintSpiderlingsWebbingLv2Ankles,絡み織りの足首縛り
RestraintSpiderlingsWebbingLv2AnklesDesc,蛛糸が足首を何度も巡り、交差した細糸を厚い輪で覆っている。
RestraintSpiderlingsWebbingLv2AnklesDesc2,輪と輪を粘る糸がつなぎ、足首を動かすと絡んだ白線が互いを引く。
RestraintSpiderlingsWebbingLv2Foot,絡み織りの足包み
RestraintSpiderlingsWebbingLv2FootDesc,蛛糸が両足に繰り返し重なり、甲と縁を厚い網の中へ包み込んでいる。
RestraintSpiderlingsWebbingLv2FootDesc2,爪先の輪郭はぼやけ、表には重なり合う糸の筋だけが残っている。
RestraintSpiderlingsWebbingLv1Stuffing,蛛糸の口詰め
RestraintSpiderlingsWebbingLv1StuffingDesc,柔らかな蛛糸の塊が口を満たし、言葉の輪郭を曖昧にしている。
RestraintSpiderlingsWebbingLv1StuffingDesc2,唇の裏に絹毛が寄り集まり、言いかけた言葉が不明瞭な声にほどける。
RestraintSpiderlingsWebbingLv1Gag,蛛糸の口枷
RestraintSpiderlingsWebbingLv1GagDesc,幅広い蛛糸が口を横切り、唇から漏れる声をくぐもらせている。
RestraintSpiderlingsWebbingLv1GagDesc2,粘る糸が口角から頬へ伸び、縁には重なった細糸がまだ見える。
RestraintSpiderlingsWebbingLv3Arm,密織りの腕縛り
RestraintSpiderlingsWebbingLv3ArmDesc,密に織られた蛛糸が背中の両腕を包み、手首の結び目も厚い白い殻に埋まっている。
RestraintSpiderlingsWebbingLv3ArmDesc2,身をよじっても表に細かな皺が寄るだけで、かつての隙間は見つからない。
RestraintSpiderlingsWebbingLv3Belly,密織りの腹帯
RestraintSpiderlingsWebbingLv3BellyDesc,細かな蛛糸が密に重なり、腹部を切れ目のない殻で包んでいる。
