NameSpinner,새끼 거미 방적자
AttackSpinner,새끼 거미 방적자가 몸에 바짝 붙어 빠르게 기어 다닌다. 가는 다리가 스치며 따끔한 간지러움을 남긴다.
AttackSpinnerBind,거미가 다리에 실을 감고 근처에 남아 계속 움직입니다. (+RestraintAdded)
KillSpinner,새끼 거미 방적자가 가는 다리를 접고 그림자 속으로 물러나 사라진다.
NameJumper,새끼 거미 도약자
AttackJumper,새끼 거미 도약자가 갑자기 덮쳐 온다. 가는 다리가 몸을 스치며 따끔한 간지러움을 일으킨다.
AttackJumperBind,새끼 거미 도약자가 몸에 뛰어들어 그 기세로 실을 팽팽히 감고는 순식간에 자취를 감춘다.(+RestraintAdded)
KillJumper,새끼 거미 도약자가 비틀거리며 물러나 이내 그림자 속으로 사라진다.
NameTunneler,새끼 거미 굴착자
KillTunneler,새끼 거미 굴착자가 자취를 감추고, 그 자리에는 실 몇 가닥만 남는다.
NameNestEntrance,둥지 입구
KillNestEntrance,둥지 입구가 굉음과 함께 무너지며 안에 숨어 있던 새끼 거미들이 쏟아져 나온다!
NameWebCaster,새끼 거미 거미줄 투사자
KillWebCaster,새끼 거미 거미줄 투사자가 몸을 웅크린 채 물러나 어둠 속으로 숨는다.
KinkyDungeonSpellSummonSpinner,방적자 소환
KinkyDungeonSummonSummonSpinner,새끼 거미 방적자가 어둠 속에서 기어 나온다. 가는 다리 사이에 실이 늘어져 있다.
KinkyDungeonSpellCastSummonSpinner,어둠 속에서 자잘한 발소리가 들린다. 새끼 거미 방적자가 곧 모습을 드러낼 듯하다.
KinkyDungeonSpellSummonJumper,도약자 소환
KinkyDungeonSummonSummonJumper,새끼 거미 도약자가 튀어나와 가는 다리로 가볍게 땅을 딛는다.
KinkyDungeonSpellCastSummonJumper,어둠 속에서 급한 바스락거림이 들린다. 새끼 거미 도약자가 곧 모습을 드러낼 듯하다.
KinkyDungeonSpellSpiderlingsJumperDash,도약자의 급습
KinkyDungeonSpellCastSpiderlingsJumperDash,새끼 거미 도약자가 발밑 땅을 응시하며 몸을 낮추고 가는 다리를 바짝 모은다.
KinkyDungeonSpellSummonWebCaster,거미줄 투사자 소환
KinkyDungeonSummonSummonWebCaster,새끼 거미 거미줄 투사자가 끈끈한 실 한 가닥을 끌며 기어 나온다.
KinkyDungeonSpellCastSummonWebCaster,어둠 속에서 끈끈한 실이 뻗어 나온다. 새끼 거미 거미줄 투사자가 곧 나타날 듯하다.
KinkyDungeonSpellSummonTunneler,굴착자 소환
KinkyDungeonSummonSummonTunneler,새끼 거미 굴착자가 어둠 속에서 나와 바닥을 따라 바스락거리며 기어간다.
KinkyDungeonSpellCastSummonTunneler,어둠 속에서 작게 땅을 긁는 소리가 난다. 새끼 거미 굴착자가 곧 나타날 듯하다.
KinkyDungeonSpellSummonNestEntrance,거미 둥지 파기
KinkyDungeonSummonSummonNestEntrance,땅이 갈라져 실로 뒤덮인 구멍이 열린다. 새 둥지 입구가 나타났다!
KinkyDungeonSpellCastSummonNestEntrance,새끼 거미 굴착자가 바닥에 엎드려 땅을 파고, 갈라진 틈을 따라 실이 퍼져 나간다!
KinkyDungeonSpellWebSpray,거미줄 분사
KinkyDungeonSpellCastWebSpray,새끼 거미 거미줄 투사자가 끈끈한 실뭉치를 쏘아 보낸다. 흰 실이 공중에서 갑자기 펼쳐진다!
KinkyDungeonSpellWebSprayDamage,날아온 끈끈한 실이 정면에서 당신을 휘감는다!(DamageDealt)
KinkyDungeonSpellWebSprayBind,뿜어진 실이 몸에 달라붙어 거미줄로 엉킨다!
KinkyDungeonSpellSpiderWeb,바닥 거미줄
KinkyDungeonSpellCastSpiderWeb,질긴 실이 바닥으로 내려앉아 주위에 어지러운 그물을 펼친다.
KinkyDungeonSpellSpiderWebDamage,거미줄을 밟자 끈끈한 실이 두 발을 휘감는다!(DamageDealt)
KinkyDungeonSpellSpiderWebBind,거미줄에 들어서자 발치의 끈끈한 실이 곧바로 감겨 올라온다!
KDModButtonSpiderlings,새끼 거미
KDModButtonspiderlingsSquad,고정 새끼 거미 분대
KDModButtonspiderlingsSpinnerEncounters,자율 Spinner 조우
KDModButtonspiderlingsNestSummonWeights,둥지 지원 종류 가중치
KDModButtonspiderlingsNestSpinnerWeight,방적자 가중치
KDModButtonspiderlingsNestJumperWeight,도약자 가중치
KDModButtonspiderlingsNestWebCasterWeight,거미줄 투사자 가중치
KDModButtonspiderlingsNestTunnelerWeight,굴착자 가중치
KDModButtonspiderlingsNestMageWeight,마법 거미 가중치
KDModButtonspiderlingsNestReinforcementControl,둥지 반복 지원
KDModButtonspiderlingsNestReinforcementCap,둥지당 생존 지원 개체 상한
KDModButtonspiderlingsNestReinforcementInterval,지원 확인 간격(턴)
RestraintSpiderlingsWebbingLv1Arm,거미줄 팔 결박
