NameSpinner,Młody pająk prządka
AttackSpinner,Młody pająk prządka przebiega po twoim ciele; cienkie odnóża zostawiają kłujące łaskotanie.
AttackSpinnerBind,"Pająk owija nogi jedwabiem i pozostaje w pobliżu, aby dalej tkać. (+RestraintAdded)"
KillSpinner,Młody pająk prządka podkurcza cienkie odnóża i cofa się w cienie, aż znika.
NameJumper,Młody pająk skoczek
AttackJumper,Młody pająk skoczek nagle się zbliża; jego cienkie odnóża muskają ciało, wywołując kłujące łaskotanie.
AttackJumperBind,Młody pająk skoczek ląduje na tobie, ruchem napina swój jedwab i w okamgnieniu znika. (+RestraintAdded)
KillJumper,Młody pająk skoczek chwiejnym krokiem się cofa i szybko ginie w cieniach.
NameTunneler,Młody pająk kopacz
KillTunneler,Młody pająk kopacz znika, pozostawiając tylko kilka jedwabnych nici.
NameNestEntrance,Wejście do gniazda
KillNestEntrance,Wejście do gniazda zapada się z hukiem, a ukryte w nim młode pająki wylewają się na zewnątrz!
NameWebCaster,Młody pająk miotacz sieci
KillWebCaster,Młody pająk miotacz sieci kuli się i wycofuje w ciemność.
KinkyDungeonSpellSummonSpinner,Przywołaj prządkę
KinkyDungeonSummonSummonSpinner,Młody pająk prządka wychodzi z ciemności, ciągnąc nici między cienkimi odnóżami.
KinkyDungeonSpellCastSummonSpinner,Z ciemności dobiega cichy tupot; młody pająk prządka zaraz się pojawi.
KinkyDungeonSpellSummonJumper,Przywołaj skoczka
KinkyDungeonSummonSummonJumper,Młody pająk skoczek wyskakuje i lekko stawia cienkie odnóża na ziemi.
KinkyDungeonSpellCastSummonJumper,Z ciemności dobiega pospieszny szelest; młody pająk skoczek zaraz się pojawi.
KinkyDungeonSpellSpiderlingsJumperDash,Szarża skoczka
KinkyDungeonSpellCastSpiderlingsJumperDash,Młody pająk skoczek wpatruje się w ziemię pod tobą, obniża ciało i ciasno podkurcza odnóża.
KinkyDungeonSpellSummonWebCaster,Przywołaj miotacza sieci
KinkyDungeonSummonSummonWebCaster,Młody pająk miotacz sieci wychodzi, ciągnąc za sobą lepką nić.
KinkyDungeonSpellCastSummonWebCaster,Lepki jedwab wyciąga się z ciemności; młody pająk miotacz sieci zaraz się pojawi.
KinkyDungeonSpellSummonTunneler,Przywołaj kopacza
KinkyDungeonSummonSummonTunneler,Młody pająk kopacz wychodzi z ciemności i przemyka po ziemi.
KinkyDungeonSpellCastSummonTunneler,Z ciemności dobiega ciche skrobanie; młody pająk kopacz zaraz się pojawi.
KinkyDungeonSpellSummonNestEntrance,Wykop pajęcze gniazdo
KinkyDungeonSummonSummonNestEntrance,Ziemia pęka, odsłaniając otwór pokryty jedwabiem; pojawiło się nowe wejście do gniazda!
KinkyDungeonSpellCastSummonNestEntrance,Młody pająk kopacz przywiera do ziemi i kopie, a jedwab rozchodzi się wzdłuż szczelin!
KinkyDungeonSpellWebSpray,Strumień pajęczyny
KinkyDungeonSpellCastWebSpray,Młody pająk miotacz sieci wystrzeliwuje ku tobie wiązkę lepkiego jedwabiu; białe nici nagle rozwierają się w powietrzu!
KinkyDungeonSpellWebSprayDamage,Nadlatujący lepki jedwab trafia cię od przodu! (DamageDealt)
KinkyDungeonSpellWebSprayBind,Rozpylony jedwab przykleja się do ciała i splątuje w sieć!
KinkyDungeonSpellSpiderWeb,Pajęczyna na ziemi
KinkyDungeonSpellCastSpiderWeb,Lepkie nici opadają na ziemię, rozciągając wokół nieregularną sieć.
KinkyDungeonSpellSpiderWebDamage,Wchodzisz w pajęczynę, a lepkie nici oplatają ci stopy! (DamageDealt)
KinkyDungeonSpellSpiderWebBind,Wchodzisz w pajęczynę, a lepkie nitki przy stopach zaraz wspinają się po nich!
KDModButtonSpiderlings,Młode pająki
KDModButtonspiderlingsSquad,Stały oddział młodych pająków
KDModButtonspiderlingsSpinnerEncounters,Autonomiczne spotkania Spinnerów
