NameSpinner,Паучонок-прядильщик
AttackSpinner,Паучонок-прядильщик быстро ползает по твоему телу; тонкие лапки оставляют колючий зуд.
AttackSpinnerBind,"Паучок обвивает ноги шёлком и остаётся рядом, продолжая плести. (+RestraintAdded)"
KillSpinner,Паучонок-прядильщик подбирает тонкие лапки, пятится в тень и исчезает.
NameJumper,Паучонок-прыгун
AttackJumper,Паучонок-прыгун внезапно бросается ближе; тонкие лапки задевают тело, вызывая колючий зуд.
AttackJumperBind,Паучонок-прыгун приземляется на тебя, рывком затягивает шёлк и в следующий миг исчезает. (+RestraintAdded)
KillJumper,Паучонок-прыгун спотыкаясь отступает и вскоре скрывается в тени.
NameTunneler,Паучонок-землекоп
KillTunneler,Паучонок-землекоп исчезает, оставляя на месте лишь несколько шёлковых нитей.
NameNestEntrance,Вход в гнездо
KillNestEntrance,Вход в гнездо с грохотом рушится, и прятавшиеся внутри паучата высыпают наружу!
NameWebCaster,Паучонок-плеватель
KillWebCaster,Паучонок-плеватель съёживается и отступает в темноту.
KinkyDungeonSpellSummonSpinner,Призвать прядильщика
KinkyDungeonSummonSummonSpinner,Паучонок-прядильщик выползает из темноты, протягивая шёлковые нити между тонкими лапками.
KinkyDungeonSpellCastSummonSpinner,Из темноты доносится тихий топот; вот-вот появится паучонок-прядильщик.
KinkyDungeonSpellSummonJumper,Призвать прыгуна
KinkyDungeonSummonSummonJumper,Паучонок-прыгун выскакивает наружу и легко опускает тонкие лапки на землю.
KinkyDungeonSpellCastSummonJumper,Из темноты доносится торопливый шорох; вот-вот появится паучонок-прыгун.
KinkyDungeonSpellSpiderlingsJumperDash,Прыжковая атака прыгуна
KinkyDungeonSpellCastSpiderlingsJumperDash,Паучонок-прыгун впивается взглядом в землю у твоих ног, припадает к ней и тесно подбирает тонкие лапки.
KinkyDungeonSpellSummonWebCaster,Призвать плевателя
KinkyDungeonSummonSummonWebCaster,Паучонок-плеватель выползает наружу, волоча за собой липкую нить.
KinkyDungeonSpellCastSummonWebCaster,Из темноты тянется липкий шёлк; вот-вот появится паучонок-плеватель.
KinkyDungeonSpellSummonTunneler,Призвать землекопа
KinkyDungeonSummonSummonTunneler,Паучонок-землекоп выбирается из темноты и шуршит по земле.
KinkyDungeonSpellCastSummonTunneler,Из темноты доносится тихое скребущее шуршание; вот-вот появится паучонок-землекоп.
KinkyDungeonSpellSummonNestEntrance,Выкопать паучье гнездо
KinkyDungeonSummonSummonNestEntrance,Земля раскалывается, открывая покрытую шёлком дыру; появился новый вход в гнездо!
KinkyDungeonSpellCastSummonNestEntrance,Паучонок-землекоп припадает к земле и роет, а по трещинам расползается шёлк!
KinkyDungeonSpellWebSpray,Струя паутины
KinkyDungeonSpellCastWebSpray,Паучонок-плеватель выпрыскивает к тебе пучок липкого шёлка; белые нити внезапно раскрываются в воздухе!
KinkyDungeonSpellWebSprayDamage,Летящий липкий шёлк опутывает тебя спереди! (DamageDealt)
KinkyDungeonSpellWebSprayBind,Выброшенный шёлк липнет к телу и сплетается в паутину!
KinkyDungeonSpellSpiderWeb,Паутина на земле
KinkyDungeonSpellCastSpiderWeb,Липкие нити опускаются на землю, расстилая вокруг неровную паутину.
KinkyDungeonSpellSpiderWebDamage,Ты ступаешь в паутину, и липкие нити обвивают стопы! (DamageDealt)
KinkyDungeonSpellSpiderWebBind,Ты ступаешь в паутину, и липкие нити у ног тут же начинают обвиваться вокруг них!
KDModButtonSpiderlings,Паучата
KDModButtonspiderlingsSquad,Постоянный отряд паучат
KDModButtonspiderlingsSpinnerEncounters,Автономные встречи со Spinner
KDModButtonspiderlingsNestSummonWeights,Веса видов подкреплений гнезда
KDModButtonspiderlingsNestSpinnerWeight,Вес прядильщика
KDModButtonspiderlingsNestJumperWeight,Вес прыгуна
KDModButtonspiderlingsNestWebCasterWeight,Вес плевателя
KDModButtonspiderlingsNestTunnelerWeight,Вес землекопа
KDModButtonspiderlingsNestMageWeight,Вес паучьего мага
KDModButtonspiderlingsNestReinforcementControl,Повторные подкрепления гнезда
KDModButtonspiderlingsNestReinforcementCap,Живые подкрепления на гнездо
KDModButtonspiderlingsNestReinforcementInterval,Интервал проверки подкреплений (ходы)
RestraintSpiderlingsWebbingLv1Arm,Шёлковые путы на руки
RestraintSpiderlingsWebbingLv1ArmDesc,Несколько липких нитей обвивают запястья, стягивая руки за спиной.
RestraintSpiderlingsWebbingLv1ArmDesc2,Между нитями ещё видны просветы. Стоит чуть повернуться, и тонкие белые линии натягиваются.
RestraintSpiderlingsWebbingLv1MittenLeft,Шёлковая варежка · левая
RestraintSpiderlingsWebbingLv1MittenLeftDesc,Тонкий шёлк прилипает к левой ладони, собирая пальцы под общей мягкой оболочкой.
RestraintSpiderlingsWebbingLv1MittenLeftDesc2,Кончики пальцев упираются в пушистые волокна; с края свисает несколько свободных нитей.
RestraintSpiderlingsWebbingLv1MittenRight,Шёлковая варежка · правая
RestraintSpiderlingsWebbingLv1MittenRightDesc,Тонкий шёлк прилипает к правой ладони, собирая пальцы под общей мягкой оболочкой.
RestraintSpiderlingsWebbingLv1MittenRightDesc2,Костяшки образуют неглубокие бугорки, а липкие нити огибают кисть и тянутся к ладони.
RestraintSpiderlingsWebbingLv1Belly,Шёлковая обмотка живота
RestraintSpiderlingsWebbingLv1BellyDesc,Узкая полоса липкого шёлка облегает низ живота.
RestraintSpiderlingsWebbingLv1BellyDesc2,Тонкие ворсинки по краям чуть колышутся в такт движениям тела.
RestraintSpiderlingsWebbingLv1Legs,Шёлковые путы на ноги
RestraintSpiderlingsWebbingLv1LegsDesc,Редкие нити пересекают сведённые ноги, протягивая между ними тонкие белые линии.
RestraintSpiderlingsWebbingLv1LegsDesc2,Ячейки ещё отчётливо видны; потянешь в одном месте — дрожат и соседние нити.
RestraintSpiderlingsWebbingLv1Ankles,Шёлковые путы на щиколотки
RestraintSpiderlingsWebbingLv1AnklesDesc,Несколько нитей перекрещиваются между щиколотками, мягко сводя их вместе.
RestraintSpiderlingsWebbingLv1AnklesDesc2,Белые нити огибают щиколотки и натягиваются узким мостиком между стопами.
RestraintSpiderlingsWebbingLv1Foot,Шёлковая оболочка стоп
RestraintSpiderlingsWebbingLv1FootDesc,Тонкий шёлк укрывает сведённые стопы, слипаясь по их краям.
RestraintSpiderlingsWebbingLv1FootDesc2,Тонкие нити расходятся по подъёмам; под паутиной ещё ясно видны очертания пальцев.
RestraintSpiderlingsWebbingLv1Blindfold,Шёлковая повязка на глаза
RestraintSpiderlingsWebbingLv1BlindfoldDesc,Тонкая полоса шёлка прикрывает глаза, смягчая свет и размывая далёкие очертания.
RestraintSpiderlingsWebbingLv1BlindfoldDesc2,Края липнут у уголков глаз, а свободные нити касаются щёк при поворотах головы.
RestraintSpiderlingsWebbingLv2Arm,Плетёные путы на руки
RestraintSpiderlingsWebbingLv2ArmDesc,Шёлк снова и снова проходит между запястьями и руками; отдельные нити сплелись в широкие толстые ленты.
RestraintSpiderlingsWebbingLv2ArmDesc2,При движении каждая нить натягивает всю паутину. У запястий теснятся липкие узлы.
RestraintSpiderlingsWebbingLv2Belly,Плетёная обмотка живота
RestraintSpiderlingsWebbingLv2BellyDesc,Шёлк расходится по низу живота, укрывая узкую ленту толстой обмоткой.
RestraintSpiderlingsWebbingLv2BellyDesc2,Новые и старые нити слипаются, а перекрещенные узоры доходят до боков талии.
RestraintSpiderlingsWebbingLv2Legs,Плетёные путы на ноги
RestraintSpiderlingsWebbingLv2LegsDesc,Толстый шёлк пересекает ноги, затягивая пространство между ними сплошной паутиной.
RestraintSpiderlingsWebbingLv2LegsDesc2,Прежние ячейки сузились до небольших щелей; перекрывающиеся ленты движутся вместе с ногами.
RestraintSpiderlingsWebbingLv2Ankles,Плетёные путы на щиколотки
RestraintSpiderlingsWebbingLv2AnklesDesc,Шёлк многократно обвивает щиколотки, укрывая пересечённые нити толстыми кольцами.
RestraintSpiderlingsWebbingLv2AnklesDesc2,Липкие нити соединяют кольца; движение щиколоток заставляет спутанные белые линии тянуть друг друга.
RestraintSpiderlingsWebbingLv2Foot,Плетёная оболочка стоп
RestraintSpiderlingsWebbingLv2FootDesc,Шёлк снова и снова ложится на стопы, заключая края и подъёмы в толстую паутину.
RestraintSpiderlingsWebbingLv2FootDesc2,Очертания пальцев расплылись; на поверхности остались лишь перекрывающиеся шёлковые бороздки.
RestraintSpiderlingsWebbingLv1Stuffing,Шёлковая набивка для рта
RestraintSpiderlingsWebbingLv1StuffingDesc,Мягкий комок шёлка заполняет рот, размывая прежде чёткие слова.
RestraintSpiderlingsWebbingLv1StuffingDesc2,За губами собираются пушистые волокна, превращая недоговорённые слова в невнятное бормотание.
RestraintSpiderlingsWebbingLv1Gag,Шёлковый кляп
RestraintSpiderlingsWebbingLv1GagDesc,Широкая полоса шёлка закрывает рот, приглушая голос.
RestraintSpiderlingsWebbingLv1GagDesc2,Липкие нити тянутся от уголков губ к щекам; по краям ещё различимы отдельные пряди.
RestraintSpiderlingsWebbingLv3Arm,Плотные путы на руки
RestraintSpiderlingsWebbingLv3ArmDesc,Плотный шёлк целиком укрывает руки за спиной, погребая узлы у запястий в толстой белой оболочке.
RestraintSpiderlingsWebbingLv3ArmDesc2,Движения лишь продавливают мелкие складки; прежних просветов больше не найти.
RestraintSpiderlingsWebbingLv3Belly,Плотная обмотка живота
RestraintSpiderlingsWebbingLv3BellyDesc,Тонкие нити густо ложатся друг на друга, заключая живот в непрерывную оболочку.
